ID	Name	Comment
ajhmfdgkijocedmfjonnpjfojldioehi	Silk	
bkdgflcldnnnapblkhphbgpggdiikppg	DuckDuckGo	
caoacbimdbbljakfhgikoodekdnlcgpk	DuckDuckGo	
cbimgpnbgalffiohilfglgkkhpegpjlo	QR Code	
cimiefiiaegbelhefglklhhakcgmhkai	Plasma Integration	
cjpalhdlnbpafiamejdnhcphjbkeiagm	uBlock Origin	
ddkjiahejlhfcafbddmgiahcphecmpfh	uBlock Origin Lite	
donbcfbmhbcapadipfkeojnmajbakjdc	Ruffle	
fllaojicojecljbmefodhfapmkghcbnh	Google Analytics opt-out	Opting out of Google Analytics even if I allowlisted some site using it in content filter
gbiekjoijknlhijdjbaadobpkdhmoebb	Google IBA opt-out	Preparing for eventuality of Google killing adblockers by opting into non-targeted ads instead.
gecgipfabdickgidpmbicneamekgbaej	Chrome Apps Launcher	BLOCKED. It means the ages ago deprecated Chrome apps, not PWAs.
hgcomhbcacfkpffiphlmnlhpppcjgmbl	HTTP Indicator	
hojggiaghnldpcknpbciehjcaoafceil	Fedora User Agent	
iimpkhokkfekbpmoamlmcndclohnehhk	IPVFooBar	
mafpmfcccpbjnhfhjnllmmalhifmlcie	Tor Snowflake	
mlojlfildnehdpnlmpkeiiglhhkofhpb	AdNauseam	
mlojlfildnehdpnlmpkeiiglhhkofhpb	Ad Nauseam	
njdfdhgcmkocbgbhcioffdbicglldapd	LocalCDN	
nngceckbapebfimnlniiiahkandclblb	Bitwarden	
obpoeflheeknapimliioeoefbfaakefn	Regrets Reporter	
odfafepnkmbhccpbejgmiehpchacaeak	uBlock Origin	
pkehgijcmpdhfbdbbnkijodmdjhbjlgp	PrivacyBadger	
